Workout ID,Date,Distance (km),Duration (min),Calories (kcal),Average Pace (min/km),Average Speed (km/h),Max Speed (km/h),Elevation Gain (m),Elevation Loss (m),Start Time,Temperature (C),Wind Speed (km/h),Humidity (%),Duration (sec),Average Pace (sec/km)
1,14/06/2023,4.37,20:00,316,04:35,13.1,18.1,13.0,13.0,19:11,22.0,11.0,80.0,1200,275
2,19/06/2023,4.45,20:00,315,04:29,13.3,15.5,12.0,13.0,20:06,29.0,14.0,53.0,1200,269
3,01/07/2023,5.26,25:01,395,04:45,12.6,15.1,12.0,14.0,12:09,22.0,8.0,79.0,1501,285
4,21/08/2023,4.03,20:02,312,04:58,12.1,14.3,0.0,10.0,19:03,34.0,8.0,42.0,1202,298
5,04/10/2023,3.76,20:01,305,05:19,11.3,13.6,9.0,13.0,17:03,25.0,13.0,68.0,1201,319
6,07/10/2023,4.05,20:00,312,04:56,12.2,18.4,7.0,13.0,10:38,22.0,10.0,66.0,1200,296
7,12/10/2023,3.26,15:01,231,04:36,13.0,18.5,10.0,12.0,15:00,25.0,10.0,64.0,901,276
8,19/10/2023,3.35,15:01,230,04:29,13.4,19.8,8.0,13.0,17:32,12.0,5.0,100.0,901,269
9,01/11/2023,3.0,15:02,237,05:00,12.0,14.4,12.0,9.0,14:48,14.0,8.0,96.0,902,300
10,08/01/2024,3.69,20:00,305,05:25,11.1,16.4,0.0,7.0,16:24,8.0,14.0,88.0,1200,325
11,10/01/2024,4.04,20:01,314,04:57,12.1,21.2,12.0,12.0,15:57,3.0,13.0,77.0,1201,297
12,11/01/2024,3.25,15:02,234,04:37,13.0,17.1,0.0,8.0,15:54,6.0,18.0,61.0,902,277
13,15/01/2024,4.26,20:01,313,04:41,12.8,14.4,12.0,12.0,16:03,8.0,16.0,86.0,1201,281
14,21/01/2024,5.3,25:01,396,04:43,12.7,17.0,13.0,14.0,14:59,6.0,10.0,49.0,1501,283
15,24/01/2024,4.23,20:00,314,04:43,12.7,14.6,10.0,14.0,15:55,10.0,14.0,66.0,1200,283
16,27/01/2024,4.33,20:00,318,04:37,13.0,17.3,11.0,13.0,11:37,10.0,14.0,66.0,1200,277
17,28/01/2024,4.26,20:01,317,04:42,12.8,15.4,10.0,13.0,11:13,2.0,16.0,95.0,1201,282
18,31/01/2024,3.29,14:31,228,04:24,13.6,20.2,9.0,11.0,15:43,11.0,13.0,56.0,871,264
19,03/02/2024,4.48,19:59,314,04:28,13.4,17.8,10.0,14.0,15.40,16.0,14.0,49.0,1199,268
20,03/04/2024,3.1,16:01,243,05:10,11.6,14.1,6.0,12.0,15:19,18.0,11.0,49.0,961,310
21,10/08/2024,5.02,23:13,366,04:37,13.0,14.6,5.0,18.0,08:30,26.0,6.0,67.0,1393,277
22,15/09/2024,1.68,06:02,91,03:35,16.7,21.0,0.0,10.0,11:09,19.0,11.0,49.0,362,215
23,19/09/2024,4.5,20:00,312,04:27,13.5,16.5,23.0,25.0,16:09,18.0,6.0,93.0,1200,267
24,22/09/2024,6.0,25:48,412,04:18,14.0,15.1,15.0,15.0,17:55,23.0,10.0,66.0,1548,258
25,24/09/2024,4.9,20:00,308,04:09,14.4,15.2,12.0,20.0,18:58,21.0,10.0,61.0,1200,249
26,30/09/2024,4.91,20:00,305,04:04,14.7,16.5,14.0,21.0,16:42,21.0,10.0,66.0,1200,244
27,05/10/2024,4.83,20:00,305,04:08,14.5,16.2,12.0,21.0,16:27,14.0,10.0,83.0,1200,248
28,10/10/2024,4.84,20:00,315,04:07,14.5,18.2,14.0,15.0,12:26,21.0,14.0,83.0,1200,247
29,13/10/2024,4.77,20:00,315,04:11,14.3,15.8,15.0,14.0,17:09,21.0,10.0,70.0,1200,251
30,17/10/2024,2.95,12:02,187,04:05,14.7,16.1,12.0,12.0,16:26,17.0,14.0,100.0,722,245
31,30/10/2024,8.0,35:52,645,04:28,13.4,14.7,19.0,29.0,15.23,21.0,8.0,74.0,2152,268
32,02/11/2024,1.02,03:44,88,03:41,16.3,17.1,6.0,0.0,16:01,20.0,8.0,62.0,224,221
33,02/11/2024,1.02,03:53,91,03:49,15.7,16.9,10.0,0.0,16:09,20.0,8.0,62.0,233,229
34,02/11/2024,1.01,03:52,67,03:50,15.6,16.9,0.0,10.0,16:17,20.0,8.0,62.0,232,230
35,02/11/2024,1.02,03:49,83,03:45,16.0,16.8,4.0,20.0,16:24,20.0,8.0,62.0,229,225
36,02/11/2024,1.0,03:41,75,03:40,16.3,17.5,0.0,9.0,16:32,20.0,8.0,62.0,221,220
37,07/11/2024,8.01,34:19,651,04:17,14.0,17.3,25.0,31.0,09:38,7.0,8.0,87.0,2059,257
38,10/11/2024,7.01,35:00,576,04:59,12.0,17.5,19.0,28.0,09:48,9.0,11.0,89.0,2100,299
39,14/11/2024,5.01,20:05,420,04:00,15.0,16.6,7.0,11.0,15:56,9.0,10.0,69.0,1205,240
40,17/11/2024,3.01,11:53,244,03:57,15.2,17.4,0.0,8.0,16:08,8.0,10.0,92.0,713,237
41,21/11/2024,10.01,42:47,811,04:16,14.0,16.0,27.0,31.0,10.37,8.0,10.0,44.0,2567,256
42,23/11/2024,1.0,03:33,80,03:33,16.8,18.7,4.0,8.0,16:04,9.0,13.0,38.0,213,213
43,23/11/2024,1.0,03:38,79,03:38,16.5,19.5,4.0,8.0,16.11,9.0,13.0,38.0,218,218
44,23/11/2024,1.01,03:36,71,03:35,16.7,19.0,0.0,7.0,16:19,9.0,13.0,38.0,216,215
45,23/11/2024,1.0,03:49,76,03:49,15.7,17.7,8.0,9.0,16:26,9.0,13.0,38.0,229,229
46,29/11/2024,4.01,16:14,346,04:02,14.8,17.1,14.0,14.0,15:41,8.0,11.0,100.0,974,242
