Workout ID,Date,Distance (km),Duration (min),Calories (kcal),Average Pace (min/km),Average Speed (km/h),Max Speed (km/h),Elevation Gain (m),Elevation Loss (m),Start Time,Temperature (C),Wind Speed (km/h),Humidity (%),Category,Average Pace (sec/km),Duration (sec)
1,2023-06-14 00:00:00,4.37,20:00,316,04:35,13.1,18.1,13,13.0,19:11,22.0,11.0,80.0,4-6 km,275.0,1200.0
2,2023-06-19 00:00:00,4.45,20:00,315,04:29,13.3,15.5,12,13.0,20:06,29.0,14.0,53.0,4-6 km,269.0,1200.0
3,2023-07-01 00:00:00,5.26,25:01,395,04:45,12.6,15.1,12,14.0,12:09,22.0,8.0,79.0,4-6 km,285.0,1501.0
4,2023-08-21 00:00:00,4.03,20:02,312,04:58,12.1,14.3,0,10.0,19:03,34.0,8.0,42.0,4-6 km,298.0,1202.0
5,2023-10-04 00:00:00,3.76,20:01,305,05:19,11.3,13.6,9,13.0,17:03,25.0,13.0,68.0,2-4 km,319.0,1201.0
6,2023-10-07 00:00:00,4.05,20:00,312,04:56,12.2,18.4,7,13.0,10:38,22.0,10.0,66.0,4-6 km,296.0,1200.0
7,2023-10-12 00:00:00,3.26,15:01,231,04:36,13.0,18.5,10,12.0,15:00,25.0,10.0,64.0,2-4 km,276.0,901.0
8,2023-10-19 00:00:00,3.35,15:01,230,04:29,13.4,19.8,8,13.0,17:32,12.0,5.0,100.0,2-4 km,269.0,901.0
9,2023-11-01 00:00:00,3.0,15:02,237,05:00,12.0,14.4,12,9.0,14:48,14.0,8.0,96.0,2-4 km,300.0,902.0
10,2024-01-08 00:00:00,3.69,20:00,305,05:25,11.1,16.4,0,7.0,16:24,8.0,14.0,88.0,2-4 km,325.0,1200.0
11,2024-01-10 00:00:00,4.04,20:01,314,04:57,12.1,21.2,12,12.0,15:57,3.0,13.0,77.0,4-6 km,297.0,1201.0
12,2024-01-11 00:00:00,3.25,15:02,234,04:37,13.0,17.1,0,8.0,15:54,6.0,18.0,61.0,2-4 km,277.0,902.0
13,2024-01-15 00:00:00,4.26,20:01,313,04:41,12.8,14.4,12,12.0,16:03,8.0,16.0,86.0,4-6 km,281.0,1201.0
14,2024-01-21 00:00:00,5.3,25:01,396,04:43,12.7,17.0,13,14.0,14:59,6.0,10.0,49.0,4-6 km,283.0,1501.0
15,2024-01-24 00:00:00,4.23,20:00,314,04:43,12.7,14.6,10,14.0,15:55,10.0,14.0,66.0,4-6 km,283.0,1200.0
16,2024-01-27 00:00:00,4.33,20:00,318,04:37,13.0,17.3,11,13.0,11:37,10.0,14.0,66.0,4-6 km,277.0,1200.0
17,2024-01-28 00:00:00,4.26,20:01,317,04:42,12.8,15.4,10,13.0,11:13,2.0,16.0,95.0,4-6 km,282.0,1201.0
18,2024-01-31 00:00:00,3.29,14:31,228,04:24,13.6,20.2,9,11.0,15:43,11.0,13.0,56.0,2-4 km,264.0,871.0
19,2024-02-03 00:00:00,4.48,19:59,314,04:28,13.4,17.8,10,14.0,15.40,16.0,14.0,49.0,4-6 km,268.0,1199.0
20,2024-04-03 00:00:00,3.1,16:01,243,05:10,11.6,14.1,6,12.0,15:19,18.0,11.0,49.0,2-4 km,310.0,961.0
21,2024-08-10 00:00:00,5.02,23:13,366,04:37,13.0,14.6,5,18.0,08:30,26.0,6.0,67.0,4-6 km,277.0,1393.0
22,2024-09-15 00:00:00,1.68,06:02,91,03:35,16.7,21.0,0,10.0,11:09,19.0,11.0,49.0,0-2 km,215.0,362.0
23,2024-09-19 00:00:00,4.5,20:00,312,04:27,13.5,16.5,23,25.0,16:09,18.0,6.0,93.0,4-6 km,267.0,1200.0
24,2024-09-22 00:00:00,6.0,25:48,412,04:18,14.0,15.1,15,15.0,17:55,23.0,10.0,66.0,6-8 km,258.0,1548.0
25,2024-09-24 00:00:00,4.9,20:00,308,04:09,14.4,15.2,12,20.0,18:58,21.0,10.0,61.0,4-6 km,249.0,1200.0
26,2024-09-30 00:00:00,4.91,20:00,305,04:04,14.7,16.5,14,21.0,16:42,21.0,10.0,66.0,4-6 km,244.0,1200.0
27,2024-10-05 00:00:00,4.83,20:00,305,04:08,14.5,16.2,12,21.0,16:27,14.0,10.0,83.0,4-6 km,248.0,1200.0
28,2024-10-10 00:00:00,4.84,20:00,315,04:07,14.5,18.2,14,15.0,12:26,21.0,14.0,83.0,4-6 km,247.0,1200.0
29,2024-10-13 00:00:00,4.77,20:00,315,04:11,14.3,15.8,15,14.0,17:09,21.0,10.0,70.0,4-6 km,251.0,1200.0
30,2024-10-17 00:00:00,2.95,12:02,187,04:05,14.7,16.1,12,12.0,16:26,17.0,14.0,100.0,2-4 km,245.0,722.0
31,2024-10-30 00:00:00,8.0,35:52,645,04:28,13.4,14.7,19,29.0,15.23,21.0,8.0,74.0,8-10 km,268.0,2152.0
32,2024-11-02 00:00:00,1.02,03:44,88,03:41,16.3,17.1,6,0.0,16:01,20.0,,,0-2 km,221.0,224.0
33,2024-11-02 00:00:00,1.02,03:53,91,03:49,15.7,16.9,10,0.0,16:09,20.0,,,0-2 km,229.0,233.0
34,2024-11-02 00:00:00,1.01,03:52,67,03:50,15.6,16.9,0,10.0,16:17,20.0,8.0,62.0,0-2 km,230.0,232.0
35,2024-11-02 00:00:00,1.02,03:49,83,03:45,16.0,16.8,16:24,20.0,,,,,0-2 km,225.0,229.0
36,2024-11-02 00:00:00,1.0,03:41,75,03:40,16.3,17.5,0,9.0,16:32,20.0,8.0,62.0,0-2 km,220.0,221.0
37,2024-11-07 00:00:00,8.01,34:19,651,04:17,14.0,17.3,25,31.0,09:38,7.0,8.0,87.0,8-10 km,257.0,2059.0
38,2024-11-10 00:00:00,7.01,35:00,576,04:59,12.0,17.5,19,28.0,09:48,9.0,11.0,89.0,6-8 km,299.0,2100.0
39,2024-11-14 00:00:00,5.01,20:05,420,04:00,15.0,16.6,7,11.0,15:56,9.0,10.0,69.0,4-6 km,240.0,1205.0
40,2024-11-17 00:00:00,3.01,11:53,244,03:57,15.2,17.4,0,8.0,16:08,8.0,10.0,92.0,2-4 km,237.0,713.0
41,2024-11-21 00:00:00,10.01,42:47,811,04:16,14.0,16.0,27,31.0,10.37,8.0,10.0,44.0,8-10 km,256.0,2567.0
42,2024-11-23 00:00:00,1.0,03.33,80,03:33,16.8,18.7,,,16:04,9.0,13.0,38.0,0-2 km,213.0,
43,2024-11-23 00:00:00,1.0,03:38,79,03:38,16.5,19.5,,,16.11,9.0,,,0-2 km,218.0,218.0
44,2024-11-23 00:00:00,1.01,03:36,71,03:35,16.7,19.0,0,7.0,16:19,9.0,,,0-2 km,215.0,216.0
45,2024-11-23 00:00:00,1.0,03:49,76,03:49,15.7,17.7,8,9.0,16:26,9.0,13.0,38.0,0-2 km,229.0,229.0
46,2024-11-29 00:00:00,4.01,16:14,346,04:02,14.8,17.1,14,14.0,15:41,8.0,11.0,100.0,4-6 km,242.0,974.0
47,2024-12-04 00:00:00,4.0,16:18,324,04:04,14.7,16.5,0,10.0,15:55,6.0,,,4-6 km,244.0,978.0
48,2024-12-11 00:00:00,4.86,20:00,405,04:07,14.6,17.1,0,11.0,16:17,9.0,16.0,73.0,4-6 km,247.0,1200.0
49,2024-12-15 00:00:00,4.76,20:00,376,04:12,14.3,16.5,13,18.0,15:25,3.0,13.0,100.0,4-6 km,252.0,1200.0
,15/12/24,4.76,00:20:00,376,4.12,14.3,16.5,13,18,15:25,,,,,,
